Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#0b5993f0-1c93-4330-a573-5b9bc453b7a6 begin trace,$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,1,"{""RefNo"":""5568294"",""Items"":[{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""df7026ed-5524-45b7-8231-1049f332a5fd"",""ShipViaUID"":""fb87d15f-82a2-418b-abc2-1e33795aad27"",""PalletID"":1,""Line_No"":200,""ComponentType"":0,""ItemNo"":""SDG-003"",""ParentItemNo"":"""",""Qty"":2,""UseMiniPackage"":true,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":null,""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null}],""WarehouseUID"":""56a433fd-3a9e-47b5-b1e0-13562bcb2ccf"",""ReceiverUrl"":""http://127.0.0.1:7777"",""ReceiverSecret"":""1234567890129456999012345699012"",""CustomerPartyName"":""GA9002"",""OrderType"":2,""RequestBy"":""AUTOPICKINGTICKET"",""ETD"":""2020-12-31T16:00:00Z"",""UsePackingStation"":true,""ShipToAddress"":""2455 Paces Ferry Rd "",""ShipToZip"":""30339"",""ShipToCity"":""Atlanta"",""ShipToState"":""GA"",""ShipToCountry"":""USA"",""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PassPackageVersion"":true,""AllocateMode"":0}",
TRACE,Ready to Allocated,$,,,,8,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,2,"""5568294""",null
TRACE,Current db session id:67,$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,3,67,null
TRACE,Log connection status call by [Allocated],$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,4,"{""ConnectionId"":48933456,""ConnectionStatus"":""Open"",""TransactionId"":34117877,""TransactionIncludeConnection"":48933456}","{""FileName"":""D:\\Project\\WMS2\\Mainproject\\YAEP.WMS.BLL\\Manager\\AbstractManager.cs"",""MethodName"":{""Name"":""LogConnectionStatus"",""AssemblyName"":""YAEP.WMS.BLL, Version=3.0.154.7780, Culture=neutral, PublicKeyToken=null"",""ClassName"":""YAEP.WMS.BLL.Manager.AbstractManager"",""Signature"":""Void LogConnectionStatus(System.String)"",""Signature2"":""System.Void LogConnectionStatus(System.String)"",""MemberType"":8,""GenericArguments"":null},""FileLineNumber"":299}"
TRACE,Invoke method <processPkgVersion>b__2 successfully,$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,5,"[{""PackageUID"":""158fa56a-278a-4f72-86c7-33dbfbd58fac"",""UID"":""d7b88192-671b-47d8-81cd-de6d4ce9061c"",""ItemUID"":""c10c8e7e-2298-4091-887f-ebff41fd7fe1"",""VersionId"":""SDG-003 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2020-08-25T05:46:24.827"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2020-08-25T05:46:24.827"",""SerialNumber"":1},{""PackageUID"":""77464cef-f171-4f10-a606-363b5e4833ff"",""UID"":""d7b88192-671b-47d8-81cd-de6d4ce9061c"",""ItemUID"":""c10c8e7e-2298-4091-887f-ebff41fd7fe1"",""VersionId"":""SDG-003 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2020-08-25T05:46:24.827"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2020-08-25T05:46:24.827"",""SerialNumber"":1}]",null
TRACE,Rollback tran call by Allocated,$,,,,9,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,8,null,null
TRACE,Log connection status call by [RollbackTransaction],$,,,,8,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,7,"{""ConnectionId"":48933456,""ConnectionStatus"":""Open"",""TransactionId"":34117877,""TransactionIncludeConnection"":48933456}","{""FileName"":""D:\\Project\\WMS2\\Mainproject\\YAEP.WMS.BLL\\Manager\\AbstractManager.cs"",""MethodName"":{""Name"":""LogConnectionStatus"",""AssemblyName"":""YAEP.WMS.BLL, Version=3.0.154.7780, Culture=neutral, PublicKeyToken=null"",""ClassName"":""YAEP.WMS.BLL.Manager.AbstractManager"",""Signature"":""Void LogConnectionStatus(System.String)"",""Signature2"":""System.Void LogConnectionStatus(System.String)"",""MemberType"":8,""GenericArguments"":null},""FileLineNumber"":299}"
TRACE,generate workorder failure,$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,6,"{""Success"":false,""Message"":""產品 不可為空"",""InnerException"":null,""Content"":""00000000-0000-0000-0000-000000000000"",""TypeCode"":null}",null
TRACE,Rollback complete by Allocated,$,,,,15,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,9,null,null
TRACE,allocated failure ,$,,,,7,Allocated,willyc,,WMS-Web-API-Tracing,,,980,0b5993f0-1c93-4330-a573-5b9bc453b7a6,10,[],null
