Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#6ddd05da-9cb5-4462-b7b5-c7a5f696e237 begin trace,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,6ddd05da-9cb5-4462-b7b5-c7a5f696e237,1,"{""RefNo"":""9465951"",""WarehouseUID"":""0d3447cc-3936-4d3b-b18e-d5f8fe594bf3"",""Container"":[{""ExternalData"":""{\""Name\"":\""\"",\""MARKS\"":\""NJ0000\"",\""VendorID\"":\""CAP BARBELL , NEW JERSEY\"",\""ETD\"":\""2021/08/12 19:59:27\"",\""ExportCompany\"":\""\""}"",""PackageUOM"":""Pallet"",""Items"":[{""Name"":""SDKC2BS-25"",""PackageUOM"":""SDKC2BS-25"",""PackageQty"":1300,""UseMinUOM"":true,""UID"":""00000000-0000-0000-0000-000000000000"",""InventoryRatio"":1300,""ExternalData"":null,""ContainerUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00322109030304419218"",""VirtualItems"":null,""ItemGroupUID"":null,""ItemUID"":[]}],""UID"":""00000000-0000-0000-0000-000000000000"",""ManifestItemUID"":[],""VesselManifestUID"":""00000000-0000-0000-0000-000000000000""}],""ReceivingType"":2,""ReceiverUrl"":null,""ReceiverSecret"":null,""CustomerPartyName"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""ImportItems"":[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}],""IsTransferOrder"":false}",
TRACE,新增/更新 產品包裝版本,$,,,,11,Receiving,joel,,WMS-Web-API-Tracing,,,980,6ddd05da-9cb5-4462-b7b5-c7a5f696e237,2,"[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}]",null
TRACE,FailToCreateCategory,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,6ddd05da-9cb5-4462-b7b5-c7a5f696e237,3,"{""CustomerID"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""GroupUID"":""c69136ef-9141-4ed2-aa24-9c23b6a14cf2"",""UID"":""93e3cc12-1ecb-4d53-9fc4-3e0a514ff127"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0}",null
TRACE,FailToCreateCategory,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,6ddd05da-9cb5-4462-b7b5-c7a5f696e237,4,"{""CustomerID"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""GroupUID"":""c69136ef-9141-4ed2-aa24-9c23b6a14cf2"",""UID"":""93e3cc12-1ecb-4d53-9fc4-3e0a514ff127"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0}",null
TRACE,Tracing#2399f61b-1ee5-4446-924e-8c4a9aefa73c begin trace,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,2399f61b-1ee5-4446-924e-8c4a9aefa73c,1,"{""RefNo"":""9465951"",""WarehouseUID"":""0d3447cc-3936-4d3b-b18e-d5f8fe594bf3"",""Container"":[{""ExternalData"":""{\""Name\"":\""\"",\""MARKS\"":\""NJ0000\"",\""VendorID\"":\""CAP BARBELL , NEW JERSEY\"",\""ETD\"":\""2021/08/12 19:59:27\"",\""ExportCompany\"":\""\""}"",""PackageUOM"":""Pallet"",""Items"":[{""Name"":""SDKC2BS-25"",""PackageUOM"":""SDKC2BS-25"",""PackageQty"":1300,""UseMinUOM"":true,""UID"":""00000000-0000-0000-0000-000000000000"",""InventoryRatio"":1300,""ExternalData"":null,""ContainerUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00322109030304419218"",""VirtualItems"":null,""ItemGroupUID"":null,""ItemUID"":[]}],""UID"":""00000000-0000-0000-0000-000000000000"",""ManifestItemUID"":[],""VesselManifestUID"":""00000000-0000-0000-0000-000000000000""}],""ReceivingType"":2,""ReceiverUrl"":null,""ReceiverSecret"":null,""CustomerPartyName"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""ImportItems"":[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}],""IsTransferOrder"":false}",
TRACE,新增/更新 產品包裝版本,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,2399f61b-1ee5-4446-924e-8c4a9aefa73c,2,"[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}]",null
TRACE,Tracing#4ae1108a-1352-4680-9d0f-cf2e2bb23f94 begin trace,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,4ae1108a-1352-4680-9d0f-cf2e2bb23f94,1,"{""RefNo"":""9465951"",""WarehouseUID"":""0d3447cc-3936-4d3b-b18e-d5f8fe594bf3"",""Container"":[{""ExternalData"":""{\""Name\"":\""\"",\""MARKS\"":\""NJ0000\"",\""VendorID\"":\""CAP BARBELL , NEW JERSEY\"",\""ETD\"":\""2021/08/12 19:59:27\"",\""ExportCompany\"":\""\""}"",""PackageUOM"":""Pallet"",""Items"":[{""Name"":""SDKC2BS-25"",""PackageUOM"":""SDKC2BS-25"",""PackageQty"":1300,""UseMinUOM"":true,""UID"":""00000000-0000-0000-0000-000000000000"",""InventoryRatio"":1300,""ExternalData"":null,""ContainerUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00322109030304419218"",""VirtualItems"":null,""ItemGroupUID"":null,""ItemUID"":[]}],""UID"":""00000000-0000-0000-0000-000000000000"",""ManifestItemUID"":[],""VesselManifestUID"":""00000000-0000-0000-0000-000000000000""}],""ReceivingType"":2,""ReceiverUrl"":null,""ReceiverSecret"":null,""CustomerPartyName"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""ImportItems"":[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}],""IsTransferOrder"":false}",
TRACE,新增/更新 產品包裝版本,$,,,,9,Receiving,joel,,WMS-Web-API-Tracing,,,980,4ae1108a-1352-4680-9d0f-cf2e2bb23f94,2,"[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}]",null
TRACE,Tracing#8a32508a-e9d0-4fb8-88d5-2fef07b11d66 begin trace,$,,,,6,Receiving,joel,,WMS-Web-API-Tracing,,,980,8a32508a-e9d0-4fb8-88d5-2fef07b11d66,1,"{""RefNo"":""9465951"",""WarehouseUID"":""0d3447cc-3936-4d3b-b18e-d5f8fe594bf3"",""Container"":[{""ExternalData"":""{\""Name\"":\""\"",\""MARKS\"":\""NJ0000\"",\""VendorID\"":\""CAP BARBELL , NEW JERSEY\"",\""ETD\"":\""2021/08/12 19:59:27\"",\""ExportCompany\"":\""\""}"",""PackageUOM"":""Pallet"",""Items"":[{""Name"":""SDKC2BS-25"",""PackageUOM"":""SDKC2BS-25"",""PackageQty"":1300,""UseMinUOM"":true,""UID"":""00000000-0000-0000-0000-000000000000"",""InventoryRatio"":1300,""ExternalData"":null,""ContainerUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00322109030304419218"",""VirtualItems"":null,""ItemGroupUID"":null,""ItemUID"":[]}],""UID"":""00000000-0000-0000-0000-000000000000"",""ManifestItemUID"":[],""VesselManifestUID"":""00000000-0000-0000-0000-000000000000""}],""ReceivingType"":2,""ReceiverUrl"":null,""ReceiverSecret"":null,""CustomerPartyName"":null,""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""ImportItems"":[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}],""IsTransferOrder"":false}",
TRACE,新增/更新 產品包裝版本,$,,,,8,Receiving,joel,,WMS-Web-API-Tracing,,,980,8a32508a-e9d0-4fb8-88d5-2fef07b11d66,2,"[{""Item"":{""CustomerID"":null,""CustomerUID"":""00000000-0000-0000-0000-000000000000"",""GroupUID"":""00000000-0000-0000-0000-000000000000"",""UID"":""00000000-0000-0000-0000-000000000000"",""ID"":""SDKC2BS-25"",""Name"":""SDKC2BS-25"",""CategoryName"":""SDKC2BS"",""UPC"":""702556903063"",""EAN"":"""",""IsBOM"":false,""Description"":""CAP 25 lbs BLACK Cement Kettlebell Set (10 & 15)"",""LengthInch"":10.43307086,""WidthInch"":10.03937007,""HeightInch"":10.31496062,""LengthCM"":26.5,""WidthCM"":25.5,""HeightCM"":26.2,""NetWeightKG"":null,""NetWeightLB"":25.0,""GrossWeightKG"":null,""GrossWeightLB"":27.0,""StockUOM"":null,""PurchaseUOM"":null,""SellingUOM"":null,""ShipUOM"":null,""ActualProduct"":null,""Is_VirtualItem"":false,""PUOM"":null,""BoxQuantity"":0},""MultiBoxItem"":[],""Packages"":[{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""SET"",""PARENT_MEASURE"":""COLOR BOX"",""QTY"":1.0,""HEIGHT"":0.0,""WIDTH"":0.0,""DEPTH"":0.0,""WEIGHT"":0.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0},{""LINE_ID"":"""",""PROD_ID"":""SDKC2BS-25"",""MEASURE"":""COLOR BOX"",""PARENT_MEASURE"":"""",""QTY"":1.0,""HEIGHT"":9.84,""WIDTH"":9.84,""DEPTH"":10.24,""WEIGHT"":27.0,""GIRTH"":null,""SCC14"":"""",""ADDBY"":"""",""ADDDATIME"":null,""CreatedBy"":"""",""CreatedOn"":null,""ModifiedBy"":"""",""ModifiedOn"":null,""LevelIndex"":null,""MetricHeight"":null,""MetricWidth"":null,""MetricDepth"":null,""MetricWeight"":null,""UPC"":"""",""PUOM"":"""",""ProductLengthInch"":10.43307086,""ProductWidthInch"":10.03937007,""ProductHeightInch"":10.31496062,""ProductGrossWeight"":27.0}]}]",null
