Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#604d88a3-56c1-4d09-a103-8e2fd7f90ab4 begin trace,$,,,,6,GetTicketList,willyc,,WMS-Web-API-Tracing,,,980,604d88a3-56c1-4d09-a103-8e2fd7f90ab4,1,"{""type"":[100],""mtype"":null,""tstatus"":[300],""groupIds"":[""ce78532d-4daa-4e9c-ad00-4a01a14be96b"",""b6d69607-4c2c-4d4d-be3a-4df05f83f738"",""76e36b81-7f9c-4329-967d-5f28b0d6ae45"",""c69136ef-9141-4ed2-aa24-9c23b6a14cf2"",""eb4bc79f-5b5e-451a-868b-abe10bb8f487"",""f3418adf-3afc-4d42-b220-b93fc40e3ddc"",""d8682c43-829d-4c9a-a1c7-ed3f17bb541e""],""TimeZone"":"""",""CreatedStartDate"":null,""CreatedEndDate"":null}",
TRACE,Tracing#604d88a3-56c1-4d09-a103-8e2fd7f90ab4 execute time:23495 ms end trace,$,,,,6,GetTicketList,willyc,,WMS-Web-API-Tracing,,,980,604d88a3-56c1-4d09-a103-8e2fd7f90ab4,2,"{""Success"":true,""Message"":null,""InnerException"":null,""Content"":[{""TicketUID"":""fd05125b-0865-4115-8b03-4de2a81ee345"",""ID"":""T100230811163423027"",""BolRefNo"":""BOL-IL2320107356@2235917495301|IL230811-1|IL2320107356|IL2320107356|IL2320107357|IL2320107357"",""VesselRefNo"":""Vessel IL2320107356"",""TicketType"":100,""PartyUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PartyName"":""CAP001"",""TicketStatus"":300,""TicketStatusName"":""Open"",""TicketTypeName"":""Receive"",""Parent"":[],""Description"":null,""ContainerType"":""00000000-0000-0000-0000-000000000000"",""ContainerTypeName"":null,""OperationInstruction"":"""",""OperationSuggestion"":null,""BolNo"":""BOL-IL2320107356"",""VesselNo"":""Vessel IL2320107356"",""FromSlots"":[""A12""],""BulkPickNo"":null},{""TicketUID"":""36ccdbec-62ab-4b64-a5a4-04191a20beeb"",""ID"":""T100210004869"",""BolRefNo"":""BOL-TX2120106327@2295575771533||TX2120106327"",""VesselRefNo"":""Vessel TX2120106327"",""TicketType"":100,""PartyUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PartyName"":""CAP001"",""TicketStatus"":300,""TicketStatusName"":""Open"",""TicketTypeName"":""Receive"",""Parent"":[],""Description"":null,""ContainerType"":""00000000-0000-0000-0000-000000000000"",""ContainerTypeName"":null,""OperationInstruction"":"""",""OperationSuggestion"":null,""BolNo"":""BOL-TX2120106327"",""VesselNo"":""Vessel TX2120106327"",""FromSlots"":[""InboundTemp""],""BulkPickNo"":null},{""TicketUID"":""9a4f05a7-a946-4ef1-a95a-d8ed0cec7cd4"",""ID"":""T100210007686"",""BolRefNo"":""BOL-TX31963566@"",""VesselRefNo"":""Vessel TX31963566"",""TicketType"":100,""PartyUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PartyName"":""CAP001"",""TicketStatus"":300,""TicketStatusName"":""Open"",""TicketTypeName"":""Receive"",""Parent"":[],""Description"":null,""ContainerType"":""00000000-0000-0000-0000-000000000000"",""ContainerTypeName"":null,""OperationInstruction"":"""",""OperationSuggestion"":null,""BolNo"":""BOL-TX31963566"",""VesselNo"":""Vessel TX31963566"",""FromSlots"":[""InboundTemp""],""BulkPickNo"":null},{""TicketUID"":""59f1a2d8-bd19-44d4-98fc-daf4dfa36c4d"",""ID"":""T100230620141101403"",""BolRefNo"":""BOL-TX96325871@"",""VesselRefNo"":""Vessel TX96325871"",""TicketType"":100,""PartyUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PartyName"":""CAP001"",""TicketStatus"":300,""TicketStatusName"":""Open"",""TicketTypeName"":""Receive"",""Parent"":[],""Description"":null,""ContainerType"":""00000000-0000-0000-0000-000000000000"",""ContainerTypeName"":null,""OperationInstruction"":"""",""OperationSuggestion"":null,""BolNo"":""BOL-TX96325871"",""VesselNo"":""Vessel TX96325871"",""FromSlots"":[""InboundTemp""],""BulkPickNo"":null}],""TypeCode"":null}",
TRACE,Tracing#8f763886-8f56-4006-9753-b80be9e0823a begin trace,$,,,,5,GetTicketList,willyc,,WMS-Web-API-Tracing,,,980,8f763886-8f56-4006-9753-b80be9e0823a,1,"{""type"":[100],""mtype"":null,""tstatus"":[300],""groupIds"":[""ce78532d-4daa-4e9c-ad00-4a01a14be96b"",""b6d69607-4c2c-4d4d-be3a-4df05f83f738"",""76e36b81-7f9c-4329-967d-5f28b0d6ae45"",""c69136ef-9141-4ed2-aa24-9c23b6a14cf2"",""eb4bc79f-5b5e-451a-868b-abe10bb8f487"",""f3418adf-3afc-4d42-b220-b93fc40e3ddc"",""d8682c43-829d-4c9a-a1c7-ed3f17bb541e""],""TimeZone"":"""",""CreatedStartDate"":null,""CreatedEndDate"":null}",
