Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#67b19996-251e-400f-9a07-b3201cc4c662 begin trace,$,,,,9,CheckBolExist,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,67b19996-251e-400f-9a07-b3201cc4c662,1,"[""BOL-5571307-1""]",
TRACE,Tracing#67b19996-251e-400f-9a07-b3201cc4c662 execute time:94 ms end trace,$,,,,28,CheckBolExist,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,67b19996-251e-400f-9a07-b3201cc4c662,2,"{""Success"":true,""Message"":null,""InnerException"":null,""Content"":{""Items"":[{""BolRefNo"":""BOL-5571307-1"",""IsExist"":false}],""IsComplete"":true,""Message"":null},""TypeCode"":null}",
TRACE,Tracing#a11a7285-34e8-4611-8db3-1d78185d22e0 begin trace,$,,,,7,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,1,"{""RefNo"":""5571307"",""Items"":[{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""1c871d69-4605-4fe8-b0c1-3da752a4301c"",""ShipViaUID"":""028aa3dd-643b-4ee1-b764-40932f0305ab"",""PalletID"":1,""Line_No"":200,""ComponentType"":0,""ItemNo"":""SDG-020"",""ParentItemNo"":"""",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":null,""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null,""AllocatedOnhandType"":7}],""WarehouseUID"":""3c336ed8-4a9d-4df2-94ad-4ebfbc8bca76"",""ReceiverUrl"":""http://127.0.0.1:7777"",""ReceiverSecret"":""1234567890129456999012345699012"",""CustomerPartyName"":""TX0274"",""OrderType"":2,""RequestBy"":""admin"",""ETD"":""2022-02-10T00:00:00Z"",""UsePackingStation"":false,""ShipToAddress"":""10820 WESTPARK DR. "",""ShipToZip"":""77042"",""ShipToCity"":""HOUSTON"",""ShipToState"":""TX"",""ShipToCountry"":""USA"",""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PassPackageVersion"":true,""AllocateMode"":0}",
TRACE,Ready to Allocated,$,,,,7,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,2,"""5571307""",null
TRACE,Current db session id:74,$,,,,7,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,3,74,null
TRACE,Invoke method <processPkgVersion>b__2 successfully,$,,,,7,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,4,"[{""PackageUID"":""0069599d-020d-4cfa-89a7-e6248943c3a8"",""UID"":""5a22ce54-bb1f-4bb5-94f3-18d9ab5b220c"",""ItemUID"":""a96a9de6-f027-4714-b439-64d477fec187"",""VersionId"":""SDG-020 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2020-06-04T03:45:54.823"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2020-06-04T03:45:54.823"",""SerialNumber"":1}]",null
TRACE,Generate ticket bol:62071486-b170-4df6-ad06-2c97c7a7c1eb result:True,$,,,,7,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,5,"{""Success"":true,""Message"":null,""InnerException"":null,""Content"":true,""TypeCode"":null}",null
TRACE,Save item  elapsed 0ms,$,,,,33,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,6,null,null
TRACE,invoke sync method <Allocated>b__50 ,$,,,,32,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,8,null,null
TRACE,ready to allocated sync received parameter,$,,,,17,Allocated,21WPTX15601-InternalService,,WMS-Web-API-Tracing,,,980,a11a7285-34e8-4611-8db3-1d78185d22e0,9,"{""TicketInfoUID"":[""8e87c2d9-1c39-4056-9ef5-1415c6359781"",""13a29294-717e-4f45-86ea-418c400140da""],""TicketUID"":null,""ManifestUID"":null,""BOLUID"":null,""WorkOrderPayloadUID"":null,""TicketInfoType"":200}",null
