Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6 begin trace,$,,,,28,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,1,"{""BolUID"":""cba1eaae-3c52-49a1-95d5-4f9374916831"",""RefNo"":""9211468"",""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""WarehouseUID"":""56a433fd-3a9e-47b5-b1e0-13562bcb2ccf"",""RequestBy"":null,""BolNo"":null}",
TRACE,Commit tran call byDeallocated,$,,,,43,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,2,null,null
TRACE,ready to deallocated sync received parameter,$,,,,45,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,3,"{""TicketInfoUID"":null,""TicketUID"":null,""ManifestUID"":null,""BOLUID"":[""cba1eaae-3c52-49a1-95d5-4f9374916831""],""WorkOrderPayloadUID"":null,""TicketInfoType"":200}",null
TRACE,End get item info,$,,,,43,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,5,"""2021-04-29T11:29:53.476704+08:00""",null
TRACE,Start get item info,$,,,,44,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,4,"[{""LocationID"":1,""WarehouseID"":15603,""UID"":""55284e77-5d57-40d0-ac1f-292d2c66504a"",""Quantity"":2,""ItemUID"":""67ea223a-b7c7-47ac-9375-a07d983a39d4"",""ItemName"":null,""PackageUID"":""8ed491e6-1485-4a1a-8e75-c23188056993"",""OriginalSlotName"":""A1-1"",""LandingZoneSlotName"":""OutboundTemp"",""ExternalOrderNo"":""9211468"",""TicketInfoStatus"":300,""TicketInfoType"":200,""WorkOrderPayloadUID"":""c8acdfc5-95b7-4b78-88d5-5f9990a0048d"",""PickQuantity"":0,""BOLUID"":""cba1eaae-3c52-49a1-95d5-4f9374916831"",""WorkOrderPodUID"":""f0a7bc49-04ec-4b76-8920-ad37f8e10c4f"",""PartyUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""CurrentSlotName"":""A1-1""}]",null
TRACE,Begin sync allocated data,$,,,,43,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,6,"""2021-04-29T11:29:53.4856988+08:00""","""93ee7a58-20a5-4962-8e6e-54df7f902923"""
TRACE,End sync allocated data,$,,,,40,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,7,"""2021-04-29T11:29:53.5860133+08:00""","[{""UID"":""c8acdfc5-95b7-4b78-88d5-5f9990a0048d"",""ItemNo"":""OPHW-035"",""QuantityToAllocated"":-2,""WmsLocationID"":""A1-1"",""OrderNo"":9211468,""UpdateDate"":""2021-04-29T11:29:53.4836999+08:00"",""LineNo"":0,""Status"":0,""QuantityToPick"":0,""PalletID"":null,""PalletQuantity"":null,""ParentID"":null,""OrderQuantity"":2,""StoreID"":null,""UserID"":""21DGTX15603-InternalService"",""BelongTo"":""55284e77-5d57-40d0-ac1f-292d2c66504a"",""ShipViaUid"":null,""LocationID"":1,""WarehouseID"":15603}]"
TRACE,sync allocated result:True,$,,,,43,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,8,"{""Success"":true,""Message"":null,""InnerException"":null,""Content"":true,""TypeCode"":null}",null
TRACE,Deallocated sync complete,$,,,,35,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,10,null,null
TRACE,Deallocated SyncRs:True Message:,$,,,,42,deAllocated,21DGTX15603-InternalService,,WMS-Web-API-Tracing,,,980,ebc90ebc-ca40-4fbd-97cb-d6a6aaf6c0c6,11,null,null
