Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,begin process ticket item,$,,,,9,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,2,"{""ServiceItem"":300,""Item"":{""TicketInfoUID"":""5761161a-a668-473b-a4b7-52dda467521d"",""ActQty"":120,""ShtQty"":0,""SavQty"":0,""Status"":null,""WorkOrderPodUID"":""3ca1e417-e6ab-42f7-9574-a463dfe14836"",""ScanType"":100,""IsPodScan"":false,""IsAllPass"":false,""Barcode"":[{""Barcode"":""00123719972420107751"",""ScanQty"":120}],""IsAllShortage"":false},""TicketInfoCommand"":100}",null
TRACE,Tracing#cc29e306-4992-4b6c-a51b-b341299514b3 begin trace,$,,,,6,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,1,"{""ServiceItem"":300,""Item"":{""TicketInfoUID"":""5761161a-a668-473b-a4b7-52dda467521d"",""ActQty"":120,""ShtQty"":0,""SavQty"":0,""Status"":null,""WorkOrderPodUID"":""3ca1e417-e6ab-42f7-9574-a463dfe14836"",""ScanType"":100,""IsPodScan"":false,""IsAllPass"":false,""Barcode"":[{""Barcode"":""00123719972420107751"",""ScanQty"":120}],""IsAllShortage"":false},""TicketInfoCommand"":100}",
TRACE,ProcessUploadTicketData get data  ,$,,,,7,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,3,"{""ServiceItem"":300,""Item"":{""TicketInfoUID"":""5761161a-a668-473b-a4b7-52dda467521d"",""ActQty"":120,""ShtQty"":0,""SavQty"":0,""Status"":null,""WorkOrderPodUID"":""3ca1e417-e6ab-42f7-9574-a463dfe14836"",""ScanType"":100,""IsPodScan"":false,""IsAllPass"":false,""Barcode"":[{""Barcode"":""00123719972420107751"",""ScanQty"":120}],""IsAllShortage"":false},""TicketInfoCommand"":100}",null
TRACE,finish process ticket item,$,,,,6,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,4,"{""ServiceItem"":300,""Item"":{""TicketInfoUID"":""5761161a-a668-473b-a4b7-52dda467521d"",""ActQty"":120,""ShtQty"":0,""SavQty"":0,""Status"":null,""WorkOrderPodUID"":""3ca1e417-e6ab-42f7-9574-a463dfe14836"",""ScanType"":100,""IsPodScan"":false,""IsAllPass"":false,""Barcode"":[{""Barcode"":""00123719972420107751"",""ScanQty"":120}],""IsAllShortage"":false},""TicketInfoCommand"":100}",null
TRACE,begin process get ticket item view,$,,,,7,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,5,"""5761161a-a668-473b-a4b7-52dda467521d""",null
TRACE,finish process get ticket item view,$,,,,6,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,6,"""5761161a-a668-473b-a4b7-52dda467521d""",null
TRACE,Tracing#cc29e306-4992-4b6c-a51b-b341299514b3 execute time:23526 ms end trace,$,,,,10,UploadTicketData,willyc,,WMS-Web-API-Tracing,,,980,cc29e306-4992-4b6c-a51b-b341299514b3,7,"{""Success"":false,""Message"":""00123719972420107751 barcode has used"",""InnerException"":null,""Content"":{""UID"":""5761161a-a668-473b-a4b7-52dda467521d"",""TicketID"":""T300240619143824315"",""StorageType"":1,""TicketType"":300,""ManifestType"":2,""TicketInfoStatus"":300,""TicketInfoStatusName"":""Open"",""PodUID"":""3caaa3d1-8767-4b12-a399-e12912159f8a"",""PayloadUID"":""da32f4c5-d393-4da0-a724-1e042b46fca4"",""ItemUID"":""a96a9de6-f027-4714-b439-64d477fec187"",""EstQty"":120,""ActQty"":0,""ShtQty"":0,""SavQty"":0,""OriginalPackage"":""cd36cf40-c797-4001-bfea-b23418a29f61"",""OriginalPackageName"":""Each"",""OriginalSlotUID"":""a374ecd8-e225-4439-8903-5066640b932b"",""TargetPackage"":""cd36cf40-c797-4001-bfea-b23418a29f61"",""TargetPackageName"":""Each"",""TargetSlotUID"":""e9d6ca14-2167-4372-8362-b8eee72ae76a"",""TicketTypeName"":""Move"",""ItemID"":""SDG-020"",""WorkOrderPodUID"":""3ca1e417-e6ab-42f7-9574-a463dfe14836"",""PodName"":""00123719972420107751"",""TargetUOMName"":""Each"",""IsPodExist"":false,""Labels"":[{""BarcodeType"":104,""BelongToType"":300,""BelongToUID"":""27869c49-ac6a-4286-b8ce-885bc1593803"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719942420107754"",""BarcodeTypeName"":""104"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""27869c49-ac6a-4286-b8ce-885bc1593803"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719942420107754"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":104,""BelongToType"":300,""BelongToUID"":""94ae2c60-b5e8-47f3-8dec-9e7fd8ab486b"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719952420107753"",""BarcodeTypeName"":""104"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""94ae2c60-b5e8-47f3-8dec-9e7fd8ab486b"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719952420107753"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""3caaa3d1-8767-4b12-a399-e12912159f8a"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719952420107753"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":104,""BelongToType"":300,""BelongToUID"":""d9885b43-5fda-41c2-807e-e01f2a58fcdb"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719962420107752"",""BarcodeTypeName"":""104"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""d9885b43-5fda-41c2-807e-e01f2a58fcdb"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719962420107752"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":104,""BelongToType"":300,""BelongToUID"":""1f2d2974-c74d-4e10-bab5-fd5258824435"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719972420107751"",""BarcodeTypeName"":""104"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""fae29bb8-30dc-4039-b162-046402fb8a7b"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719972420107751"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""1f2d2974-c74d-4e10-bab5-fd5258824435"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719972420107751"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":104,""BelongToType"":300,""BelongToUID"":""6d894402-f4d8-40b4-a2ae-788f00c2bcab"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719982420107750"",""BarcodeTypeName"":""104"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":105,""BelongToType"":300,""BelongToUID"":""6d894402-f4d8-40b4-a2ae-788f00c2bcab"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""00123719982420107750"",""BarcodeTypeName"":""105"",""StatusName"":""Active"",""Status"":100,""AddQty"":120},{""BarcodeType"":204,""BelongToType"":400,""BelongToUID"":""da32f4c5-d393-4da0-a724-1e042b46fca4"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""10702556100209"",""BarcodeTypeName"":""Box_SCC14"",""StatusName"":""Active"",""Status"":100,""AddQty"":2},{""BarcodeType"":302,""BelongToType"":400,""BelongToUID"":""da32f4c5-d393-4da0-a724-1e042b46fca4"",""AttachmentUID"":""00000000-0000-0000-0000-000000000000"",""Barcode"":""702556100202"",""BarcodeTypeName"":""Item_UPC"",""StatusName"":""Active"",""Status"":100,""AddQty"":1}],""OriginalLocation"":{""SlotUID"":""a374ecd8-e225-4439-8903-5066640b932b"",""SlotName"":""A1"",""BinUID"":""8093d60d-671f-46f1-a2d5-7eba0b7d3329"",""BinName"":""A1"",""AreaUID"":""fadd6af1-ffea-4f78-8c8f-84aa432dd973"",""AreaName"":""A1"",""SlotID"":""A1"",""BinID"":""A1"",""AreaID"":""A1""},""TargetLocation"":{""SlotUID"":""e9d6ca14-2167-4372-8362-b8eee72ae76a"",""SlotName"":""OutboundTemp"",""BinUID"":""52ee76b9-e959-4e51-92dd-0f5250d52781"",""BinName"":""OutboundTemp"",""AreaUID"":""2b8982e6-6108-4bde-8729-90f2d1c1fb65"",""AreaName"":""OutboundTemp"",""SlotID"":""OutboundTemp"",""BinID"":""OutboundTemp"",""AreaID"":""OutboundTemp""},""SourceLoadingZoneSlotUID"":""e9d6ca14-2167-4372-8362-b8eee72ae76a"",""SourceSlotUID"":""a374ecd8-e225-4439-8903-5066640b932b"",""MappingType"":2,""SourcePackageUID"":""cd36cf40-c797-4001-bfea-b23418a29f61"",""PayloadPackageUID"":""cd36cf40-c797-4001-bfea-b23418a29f61"",""Description"":null,""ContainerType"":""00000000-0000-0000-0000-000000000000"",""ContainerTypeName"":null,""OperationInstruction"":null,""OperationSuggestion"":null,""PodBarcode"":""00123719952420107753"",""WarehouseUID"":""b27c4d53-266d-46d1-a529-1ac19813e003""},""TypeCode"":null}",
TRACE,Tracing#1b63dbc3-1c06-41b6-92f6-20792e4ec013 begin trace,$,,,,6,UploadOutboundTicketDataByPod,willyc,,WMS-Web-API-Tracing,,,980,1b63dbc3-1c06-41b6-92f6-20792e4ec013,1,"{""barcode"":""00123719972420107751""}",
TRACE,UploadTicketDataByPodBarcode get data Ticket Info[167f5895-79ea-4289-8017-0918f9e955c2] ,$,,,,6,UploadOutboundTicketDataByPod,willyc,,WMS-Web-API-Tracing,,,980,1b63dbc3-1c06-41b6-92f6-20792e4ec013,2,"[{""UID"":""167f5895-79ea-4289-8017-0918f9e955c2"",""TicketUID"":""98681abe-5cf4-4055-90b2-dfa7c39f0c78"",""ID"":""T.I200240619143824312"",""Name"":""T.I200240619143824312"",""Type"":200,""WorkOrderPodUID"":null,""WorkOrderPayloadUID"":""92b6011b-5196-4264-a66c-3bc2fe241936"",""EstQty"":120,""ActQty"":0,""ShtQty"":0,""SavQty"":0,""OperationInstruction"":null,""OperationSuggestion"":null,""Status"":300,""Description"":null,""CreatedBy"":""TJ-InternalService"",""CreatedOn"":""2024-06-19T06:38:24.313"",""ModifiedBy"":null,""ModifiedOn"":""2024-06-19T06:38:23.667"",""BolUID"":""00000000-0000-0000-0000-000000000000""}]",null
TRACE,ProcessUploadTicketData get data  ,$,,,,6,UploadOutboundTicketDataByPod,willyc,,WMS-Web-API-Tracing,,,980,1b63dbc3-1c06-41b6-92f6-20792e4ec013,3,"{""ServiceItem"":200,""Item"":{""TicketInfoUID"":""167f5895-79ea-4289-8017-0918f9e955c2"",""ActQty"":null,""ShtQty"":null,""SavQty"":null,""Status"":null,""WorkOrderPodUID"":""00000000-0000-0000-0000-000000000000"",""ScanType"":0,""IsPodScan"":true,""IsAllPass"":false,""Barcode"":[{""Barcode"":""00123719972420107751"",""ScanQty"":1}],""IsAllShortage"":false},""TicketInfoCommand"":0}",null
