Level,Content,ExceptionMessage,ExceptionStackTrace,MachineName,Source,ThreadId,Type,Logger,IP,Application,SubApplication,Alias,BelongToType,BelongToUID,BelongToRemark,ObjectBefore,ObjectAfter
TRACE,Tracing#932923d2-31a9-4970-8395-83535fb070be begin trace,$,,,,5,Allocated,admin,,WMS-Web-API-Tracing,,,980,932923d2-31a9-4970-8395-83535fb070be,1,"{""RefNo"":""9551845"",""Items"":[{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""e752ef8e-edfc-4579-abaf-f83ac86ce6cb"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":200,""ComponentType"":0,""ItemNo"":""NCFW-CHAIR-B"",""ParentItemNo"":"""",""Qty"":8,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""4ffef189-c571-4bf8-82d1-62f7e7051fcc"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":300,""ComponentType"":0,""ItemNo"":""OPHW-010"",""ParentItemNo"":"""",""Qty"":2,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""c33e05df-ae30-4c70-b4e0-b09c6b1aa87b"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":400,""ComponentType"":0,""ItemNo"":""OC-06A"",""ParentItemNo"":"""",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""0da89321-a948-4079-9575-954d864f9bdf"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":500,""ComponentType"":0,""ItemNo"":""FMS-CS100"",""ParentItemNo"":"""",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""35ed418e-ae5d-48db-b904-d8d886f1a705"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":600,""ComponentType"":0,""ItemNo"":""RSV-105-3"",""ParentItemNo"":"""",""Qty"":2,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""020613c3-5760-4052-ab96-700a11faa1cb"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":700,""ComponentType"":0,""ItemNo"":""NCFW-SOFA-L"",""ParentItemNo"":"""",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""c47b5d72-d8a0-47a6-a659-820ec8b2f239"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":800,""ComponentType"":0,""ItemNo"":""RK-12BIS"",""ParentItemNo"":""SDRS-150R-12BIS"",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""c47b5d72-d8a0-47a6-a659-820ec8b2f239"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":800,""ComponentType"":0,""ItemNo"":""SDRS-50A"",""ParentItemNo"":""SDRS-150R-12BIS"",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""c47b5d72-d8a0-47a6-a659-820ec8b2f239"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":800,""ComponentType"":0,""ItemNo"":""SDRS-50B"",""ParentItemNo"":""SDRS-150R-12BIS"",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""c47b5d72-d8a0-47a6-a659-820ec8b2f239"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":800,""ComponentType"":0,""ItemNo"":""SDRS-50C"",""ParentItemNo"":""SDRS-150R-12BIS"",""Qty"":1,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""93d38934-e191-40d2-8a9d-64d12e05ab34"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":900,""ComponentType"":0,""ItemNo"":""NCFW-CHAIR-W"",""ParentItemNo"":"""",""Qty"":6,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null},{""ManifestItemUID"":""00000000-0000-0000-0000-000000000000"",""VesselManifestUID"":""00000000-0000-0000-0000-000000000000"",""ShipPackageUID"":""d4bf3009-f317-44af-b258-ff50fb296776"",""ShipViaUID"":""9fba2eed-432f-426d-b650-4f14b5a045df"",""PalletID"":1,""Line_No"":1000,""ComponentType"":0,""ItemNo"":""OPR2-025"",""ParentItemNo"":"""",""Qty"":2,""UseMiniPackage"":false,""PackageVersionUID"":""00000000-0000-0000-0000-000000000000"",""PalletBarcode"":""00001551845000100017"",""Carrier"":null,""ShipViaNo"":1,""VirtualItems"":[],""VirtualItemParentItemNo"":null,""IsHasVirtualItem"":false,""ItemGroupUID"":null}],""WarehouseUID"":""3c336ed8-4a9d-4df2-94ad-4ebfbc8bca76"",""ReceiverUrl"":""http://127.0.0.1:7777"",""ReceiverSecret"":""1234567890129456999012345699012"",""CustomerPartyName"":""TX0274"",""OrderType"":1,""RequestBy"":""admin"",""ETD"":""2021-09-27T00:00:00Z"",""UsePackingStation"":false,""ShipToAddress"":""11121 Westpark Dr "",""ShipToZip"":""77042"",""ShipToCity"":""Houston"",""ShipToState"":""TX"",""ShipToCountry"":""USA"",""CustomerUID"":""632689e6-c643-43ee-ae85-7384e20e587a"",""PassPackageVersion"":true,""AllocateMode"":100}",
TRACE,Ready to Allocated,$,,,,33,Allocated,admin,,WMS-Web-API-Tracing,,,980,932923d2-31a9-4970-8395-83535fb070be,2,"""9551845""",null
TRACE,Current db session id:112,$,,,,5,Allocated,admin,,WMS-Web-API-Tracing,,,980,932923d2-31a9-4970-8395-83535fb070be,3,112,null
TRACE,Log connection status call by [Allocated],$,,,,5,Allocated,admin,,WMS-Web-API-Tracing,,,980,932923d2-31a9-4970-8395-83535fb070be,4,"{""ConnectionId"":46392265,""ConnectionStatus"":""Open"",""TransactionId"":39812757,""TransactionIncludeConnection"":46392265}","{""FileName"":""D:\\Project\\WMS2\\Mainproject\\YAEP.WMS.BLL\\Manager\\AbstractManager.cs"",""MethodName"":{""Name"":""LogConnectionStatus"",""AssemblyName"":""YAEP.WMS.BLL, Version=3.0.163.7780, Culture=neutral, PublicKeyToken=null"",""ClassName"":""YAEP.WMS.BLL.Manager.AbstractManager"",""Signature"":""Void LogConnectionStatus(System.String)"",""Signature2"":""System.Void LogConnectionStatus(System.String)"",""MemberType"":8,""GenericArguments"":null},""FileLineNumber"":299}"
TRACE,Invoke method <processPkgVersion>b__2 successfully,$,,,,5,Allocated,admin,,WMS-Web-API-Tracing,,,980,932923d2-31a9-4970-8395-83535fb070be,5,"[{""PackageUID"":""29b68bc0-d1d7-4af8-92f1-1974cd948c4a"",""UID"":""2a85e9b9-6f4d-4f5d-996b-926ebc28650c"",""ItemUID"":""d971262a-926e-45dd-b440-13006aac6479"",""VersionId"":""NCFW-CHAIR-B ver.1"",""Status"":1,""CreatedBy"":""Varys-WMS"",""CreatedOn"":""2021-09-14T19:53:05.653"",""ModifiedBy"":""Varys-WMS"",""ModifiedOn"":""2021-09-14T19:53:05.653"",""SerialNumber"":1},{""PackageUID"":""8750caef-e4a5-40c3-92b0-1adeae5065a1"",""UID"":""71224d56-e66a-48cb-8074-2fac662a522b"",""ItemUID"":""26d239b9-bea2-48ea-9693-37a71c6dd1e2"",""VersionId"":""SDRS-50C ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:49:38.82"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:49:38.82"",""SerialNumber"":1},{""PackageUID"":""6daba1d5-6ee8-4832-96ae-2768d97268ed"",""UID"":""84bec8dd-8684-41bc-b051-a82ca00d8e22"",""ItemUID"":""15352ced-01fb-46ba-bc97-911953ac9511"",""VersionId"":""RSV-105-3 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2020-05-05T07:46:10.697"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2020-05-05T07:46:10.697"",""SerialNumber"":1},{""PackageUID"":""d9aba72a-e3c7-47d7-9aa9-5b1176d13b1a"",""UID"":""0a7c5a1e-7ea2-4e11-b0ad-9cb793ec58e8"",""ItemUID"":""47013db5-15c3-4012-a76f-4cbbd0522590"",""VersionId"":""FMS-CS100 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:26:32.72"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:26:32.72"",""SerialNumber"":1},{""PackageUID"":""bcd1bfbf-4c6c-43c5-993b-87e28bfdb46a"",""UID"":""2b1353ca-d472-49a5-b2c9-31a6f18d242c"",""ItemUID"":""5a061318-5196-47a0-b2ed-777f194b8ae0"",""VersionId"":""NCFW-SOFA-L ver.1"",""Status"":1,""CreatedBy"":""Varys-WMS"",""CreatedOn"":""2021-09-14T20:01:00.813"",""ModifiedBy"":""Varys-WMS"",""ModifiedOn"":""2021-09-14T20:01:00.813"",""SerialNumber"":1},{""PackageUID"":""ef6e5e38-3629-4c0a-8de7-89c7630547db"",""UID"":""b2a8eec3-dd87-4d19-bb0c-1b403815210b"",""ItemUID"":""7db5113c-65f6-4d4f-86fe-fddf4e060931"",""VersionId"":""OPHW-010 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:38:00.007"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:38:00.007"",""SerialNumber"":1},{""PackageUID"":""2e9146ee-542f-4669-b6dd-b6af40362c91"",""UID"":""8dda98de-5445-45f4-af9a-768d17c3c5f2"",""ItemUID"":""6d3f84cb-4647-4c88-a0a1-cf7990ece679"",""VersionId"":""OC-06A ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:37:45.2"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:37:45.2"",""SerialNumber"":1},{""PackageUID"":""af9c5309-4aad-4446-989d-b8157b729527"",""UID"":""a5ff22e8-306a-4ac4-b1b3-bd550995a288"",""ItemUID"":""2b36de7f-f60f-4b5a-be11-8a5e73ddf510"",""VersionId"":""SDRS-50B ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:49:38.677"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:49:38.677"",""SerialNumber"":1},{""PackageUID"":""f383df41-8c81-4baf-8eb0-c5ef6e6f8f4b"",""UID"":""a984cbf1-b045-4786-ac83-227f6ffac15d"",""ItemUID"":""e3d63ff8-2348-48cd-815f-d15f7db1f9d5"",""VersionId"":""RK-12BIS ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:45:04.85"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:45:04.85"",""SerialNumber"":1},{""PackageUID"":""41e8608e-d64e-4bec-ade5-e33a6cb24908"",""UID"":""ff3e174c-7fe8-4bb8-aeb5-9850faf6dfe5"",""ItemUID"":""8b5f6b3d-9ba0-4a6c-b4c5-1713f12fa1a9"",""VersionId"":""SDRS-50A ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:49:38.563"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:49:38.563"",""SerialNumber"":1},{""PackageUID"":""3c4e83bc-6f2f-4e02-a401-edcaf08763ec"",""UID"":""ab37d7ad-bb98-475d-b049-c70f520e8f48"",""ItemUID"":""cf048945-8d7d-43cd-9864-e3907685e915"",""VersionId"":""OPR2-025 ver.1"",""Status"":1,""CreatedBy"":""CAPItemSyncer"",""CreatedOn"":""2019-11-04T07:38:03.05"",""ModifiedBy"":""CAPItemSyncer"",""ModifiedOn"":""2019-11-04T07:38:03.05"",""SerialNumber"":1},{""PackageUID"":""97cd4318-db7e-4d29-99e6-f16c05a52fe9"",""UID"":""7cdbd4b7-ffd5-4058-8827-248eda76cde7"",""ItemUID"":""102ea3db-6467-40a7-afd5-491a596dffdd"",""VersionId"":""NCFW-CHAIR-W ver.1"",""Status"":1,""CreatedBy"":""Varys-WMS"",""CreatedOn"":""2021-09-14T15:57:15.567"",""ModifiedBy"":""Varys-WMS"",""ModifiedOn"":""2021-09-14T15:57:15.567"",""SerialNumber"":1}]",null
